"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Fabric and Cloth","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Biohazard","0.025","5.0",NA,NA,"0.125","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Biodegradable","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Construction","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Glass","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Metal","0.025","5.0",NA,NA,"0.125","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Miscellaneous","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
"Large Items","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","5.0","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx"
