"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Fabric and Cloth","0.1","5",NA,NA,"0.5","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Biohazard","0","5",NA,NA,"0","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Biodegradable","0","5",NA,NA,"0","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Construction",NA,NA,NA,NA,NA,"GALLONS","2.5","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Glass","0.05","5",NA,NA,"0.25","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Metal","1","5",NA,NA,"5","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Miscellaneous","0.05","5",NA,NA,"0.25","GALLONS","0","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
"Large Items",NA,NA,NA,NA,NA,"GALLONS","12.5","   ft3","17","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx"
