"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","2.0","2.5","0.0","10.0","5","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Fabric and Cloth","1.0","2.5","0.0","10.0","2.5","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Biohazard","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Biodegradable","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Construction","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Glass","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Metal","1.0","1.0","0.0","10.0","1","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Miscellaneous","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
"Large Items","2.0","5.0","0.0","10.0","10","GALLONS","0.0","   ft3","0.0","Site 13_12-8-2021/Site #13 12_8_21.xlsx"
