"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Fabric and Cloth","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Biohazard","0","5",NA,NA,"0","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Biodegradable","0","5",NA,NA,"0","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Construction","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Glass","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Metal","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Miscellaneous","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
"Large Items","1","5",NA,NA,"5","GALLONS",NA,"   ft3","91","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx"
