"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","1.9","1.0",NA,NA,"1.9","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Fabric and Cloth","0.05","1.0",NA,NA,"0.05","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Biohazard","0.05","1.0",NA,NA,"0.05","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Biodegradable","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Construction","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Glass","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Metal","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Miscellaneous","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Large Items","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","28.0","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
