"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Fabric and Cloth","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Biohazard","0.01","5",NA,NA,"0.05","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Biodegradable",NA,NA,NA,NA,NA,"GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Construction",NA,NA,NA,NA,NA,"GALLONS","3","   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Glass","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Metal","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Miscellaneous","0.01","5",NA,NA,"0.05","GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Large Items",NA,NA,NA,NA,NA,"GALLONS",NA,"   ft3","3","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
