"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.3","5.0",NA,NA,"1.5","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Fabric and Cloth","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Biohazard","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Biodegradable",NA,NA,NA,NA,"0","GALLONS","0.5","   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Construction",NA,NA,NA,NA,"0","GALLONS","3.5","   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Glass","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Metal",NA,NA,NA,NA,"0","GALLONS","0.5","   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Miscellaneous","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
"Large Items","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","20.0","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx"
