"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.4","5.0",NA,NA,"2","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Fabric and Cloth",NA,"5.0",NA,NA,"0","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Biohazard","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Biodegradable",NA,"5.0",NA,NA,"0","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Construction","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Glass","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Metal","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Miscellaneous","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
"Large Items","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","23.0","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx"
