"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.25","5.0",NA,NA,"1.25","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Fabric and Cloth","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Biohazard","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Biodegradable","0.025","5.0",NA,NA,"0.125","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Construction","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Glass","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Metal","0.025","5.0",NA,NA,"0.125","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Miscellaneous","0.1","5.0",NA,NA,"0.5","GALLONS",NA,"   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Large Items",NA,NA,NA,NA,NA,"GALLONS","0.5","   ft3","24.0","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
