"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","4.0","5.0",NA,NA,"20","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Fabric and Cloth","0.4","5.0",NA,NA,"2","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Biohazard","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Biodegradable","0.4","5.0",NA,NA,"2","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Construction","0.4","5.0",NA,NA,"2","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Glass","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Metal","1.0","5.0",NA,NA,"5","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Miscellaneous","1.0","5.0",NA,NA,"5","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Large Items","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","22.0","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
