"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","1.0","2.5","0.0","10.0","0.5","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Fabric and Cloth","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Biohazard","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Biodegradable","1.0","2.5","0.0","10.0","0.25","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Construction","1.0","2.5","0.0","10.0","0.0","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Glass","1.0","2.5","0.0","10.0","0.1","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Metal","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Miscellaneous","1.0","2.5","0.0","10.0","0.1","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Large Items","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","0.0","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
