"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.1","1.0",NA,NA,"0.1","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Fabric and Cloth","0.05","1.0",NA,NA,"0.05","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Biohazard","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Biodegradable","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Construction","0.5","1.0",NA,NA,"0.5","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Glass","0.05","1.0",NA,NA,"0.05","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Metal","3.0","1.0",NA,NA,"3","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Miscellaneous","0.3","1.0",NA,NA,"0.3","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
"Large Items","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","12.0","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx"
