"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.0","2.5","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Fabric and Cloth","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Biohazard","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Biodegradable","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Construction","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Glass","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Metal","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Miscellaneous","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
"Large Items","0.0","5.0","0.0","10.0","0","GALLONS","0.0","   ft3","16.0","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx"
