"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.1","1.0",NA,NA,"0.1","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Fabric and Cloth","0.2","1.0",NA,NA,"0.2","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Biohazard","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Biodegradable","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Construction","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Glass","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Metal","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Miscellaneous","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
"Large Items","0.0","1.0",NA,NA,"0","GALLONS",NA,"   ft3","27.0","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx"
