"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.02","5",NA,NA,"0.1","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Fabric and Cloth","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Biohazard","0","5",NA,NA,"0","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Biodegradable","0","5",NA,NA,"0","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Construction","0","5",NA,NA,"0","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Glass","0.01","5",NA,NA,"0.05","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Metal",NA,NA,NA,NA,NA,"GALLONS","8.5","   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Miscellaneous","0.1","5",NA,NA,"0.5","GALLONS",NA,"   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
"Large Items",NA,NA,NA,NA,"0","GALLONS","3.5","   ft3","72","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx"
