"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.5","5.0",NA,NA,"2.5","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Fabric and Cloth","0.2","5.0",NA,NA,"1","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Biohazard","0.3","5.0",NA,NA,"1.5","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Biodegradable","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Construction","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Glass","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Metal","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Miscellaneous","0.05","5.0",NA,NA,"0.25","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
"Large Items","0.0","5.0",NA,NA,"0","GALLONS",NA,"   ft3","19.0","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx"
